::1 - - [06/Jun/2022:04:46:36 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
::1 - - [06/Jun/2022:07:52:54 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:56:34 +0000] "POST /api/v1/bills/drain HTTP/1.1" 400 109 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:56:44 +0000] "POST /api/v1/bills/drain HTTP/1.1" 200 322 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:59:08 +0000] "GET /api/v1/bills HTTP/1.1" 404 151 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:00:48 +0000] "GET /api/v1/bills HTTP/1.1" 200 698 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:05:36 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:06:04 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:07:10 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:10:24 +0000] "GET /api/v1/goods HTTP/1.1" 200 503 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:10:28 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:10:33 +0000] "GET /api/v1/goods HTTP/1.1" 200 503 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:10:52 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 500 67 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:11:18 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:12:05 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:12:14 +0000] "GET /api/v1/goods HTTP/1.1" 200 504 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:13:42 +0000] "GET /api/v1/goods HTTP/1.1" 200 504 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:13:45 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:13:49 +0000] "GET /api/v1/goods HTTP/1.1" 200 504 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:17:42 +0000] "POST /api/v1/goods HTTP/1.1" 200 361 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:18:38 +0000] "GET /api/v1/goods HTTP/1.1" 200 900 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:18:50 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 398 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:19:08 +0000] "GET /api/v1/goods HTTP/1.1" 200 901 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:22:15 +0000] "POST /api/v1/bills/drain HTTP/1.1" 200 400 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:22:18 +0000] "GET /api/v1/goods HTTP/1.1" 200 900 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:29:08 +0000] "GET /api/v1/bills/receipt HTTP/1.1" 200 1601 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:29:51 +0000] "GET /api/v1/bills/drain HTTP/1.1" 200 792 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:32:14 +0000] "POST /api/v1/bills/drain HTTP/1.1" 200 400 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:32:41 +0000] "GET /api/v1/goods HTTP/1.1" 200 900 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:35:00 +0000] "GET /api/v1/goods/user HTTP/1.1" 200 103 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:35:14 +0000] "GET /api/v1/goods/user HTTP/1.1" 200 900 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:45:09 +0000] "GET /api/v1/transactions/user HTTP/1.1" 404 163 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:46:14 +0000] "GET /api/v1/transactions/user HTTP/1.1" 200 117 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:46:24 +0000] "POST /api/v1/users/login HTTP/1.1" 200 547 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:46:31 +0000] "GET /api/v1/transactions/user HTTP/1.1" 200 117 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:47:49 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 398 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:48:15 +0000] "GET /api/v1/transactions/user HTTP/1.1" 200 746 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:50:11 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 398 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:50:15 +0000] "GET /api/v1/transactions/user HTTP/1.1" 200 1378 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:54:09 +0000] "GET /api/v1/transactions/629dbfc2f134d24b4ce00231/bill HTTP/1.1" 200 748 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:55:53 +0000] "GET /api/v1/transactions/629dbfc2f134d24b4ce00231/bill HTTP/1.1" 200 863 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:56:02 +0000] "GET /api/v1/transactions/user HTTP/1.1" 200 1608 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:08:56:23 +0000] "GET /api/v1/goods HTTP/1.1" 200 901 "-" "PostmanRuntime/7.29.0"
